Comment,Lemmatized_Comment,Overall_CB_Status,Sexual_Type1,Sexual_Type2,Physical_Appearance,Race,Intellectual,General_Hate
wow love details,wow love detail,0,0,0,0,0,0,0
amazing,amazing,0,0,0,0,0,0,0
great,great,0,0,0,0,0,0,0
kno gonna come phil,kno gonna come phil,0,0,0,0,0,0,0
beautiful,beautiful,0,0,0,0,0,0,0
wow amazing,wow amazing,0,0,0,0,0,0,0
awesome,awesome,0,0,0,0,0,0,0
love,love,0,0,0,0,0,0,0
attendance already passes members studio preview the,attendance already pass member studio preview the,0,0,0,0,0,0,0
ladder tho,ladder tho,0,0,0,0,0,0,0
nice,nice,0,0,0,0,0,0,0
amazing,amazing,0,0,0,0,0,0,0
awesome,awesome,0,0,0,0,0,0,0
good show wish,good show wish,0,0,0,0,0,0,0
sale,sale,0,0,0,0,0,0,0
miss,miss,0,0,0,0,0,0,0
good see replay visiting square canvas,good see replay visiting square canvas,0,0,0,0,0,0,0
looking forward great new work,looking forward great new work,0,0,0,0,0,0,0
bottom left,bottom left,0,0,0,0,0,0,0
was nice,wa nice,0,0,0,0,0,0,0
fact chums printed ladder dope well,fact chum printed ladder dope well,0,0,0,0,0,0,0
club,club,0,0,0,0,0,0,0
damnit,damnit,0,0,0,0,0,0,0
ah,ah,0,0,0,0,0,0,0
congrats guys,congrats guy,0,0,0,0,0,0,0
guys closer shipping australia,guy closer shipping australia,0,0,0,0,0,0,0
enter promotion code replay receive first month,enter promotion code replay receive first month,0,0,0,0,0,0,0
jeans shorts got one pair jeans orders,jean short got one pair jean order,0,0,0,0,0,0,0
damm,damm,0,0,0,0,0,0,0
still received april order emailed guys twice,still received april order emailed guy twice,0,0,0,0,0,0,0
congrats winners,congrats winner,0,0,0,0,0,0,0
charged the emailed last tuesday heard theing going april package,charged the emailed last tuesday heard theing going april package,0,0,0,0,0,0,0
missed Crying,missed Crying,0,0,0,0,0,0,0
win brush,win brush,0,0,0,0,0,0,0
would big pack like ever available purchase,would big pack like ever available purchase,0,0,0,0,0,0,0
mays packages include shorts,may package include short,0,0,0,0,0,0,0
email address,email address,0,0,0,0,0,0,0
email address,email address,0,0,0,0,0,0,0
bullshit lol,bullshit lol,0,0,0,0,0,0,0
please email,please email,0,0,0,0,0,0,0
try hard enough laughing loud,try hard enough laughing loud,0,0,0,0,0,0,0
email,email,0,0,0,0,0,0,0
said giveaway,said giveaway,0,0,0,0,0,0,0
hi five four davidsolis underscores two make day baby,hi five four davidsolis underscore two make day baby,0,0,0,0,0,0,0
got charged april never received april package may package already shipped sent emails customer service reply come,got charged april never received april package may package already shipped sent email customer service reply come,0,0,0,0,0,0,0
promote clothing new orleans,promote clothing new orleans,0,0,0,0,0,0,0
situation aggravating comped something,situation aggravating comped something,0,0,0,0,0,0,0
correct winner,correct winner,0,0,0,0,0,0,0
email address,email address,0,0,0,0,0,0,0
email address,email address,0,0,0,0,0,0,0
package shipped today updated fed ex system tracking information tomorrow,package shipped today updated fed ex system tracking information tomorrow,0,0,0,0,0,0,0
claim happy take prize pack,claim happy take prize pack,0,0,0,0,0,0,0
finally gave trying contact disputed charge credit card company,finally gave trying contact disputed charge credit card company,0,0,0,0,0,0,0
still waiting april package also charged almost weeks ago guess business picking hopefully help get orders,still waiting april package also charged almost week ago guess business picking hopefully help get order,0,0,0,0,0,0,0
email address,email address,0,0,0,0,0,0,0
email assistance,email assistance,0,0,0,0,0,0,0
emailed,emailed,0,0,0,0,0,0,0
sent another email guys today hopefully everything gets squared away,sent another email guy today hopefully everything get squared away,0,0,0,0,0,0,0
yes aha next,yes aha next,0,0,0,0,0,0,0
package shipped via fed ex today updated system tomorrow apologize delay appreciate continued support,package shipped via fed ex today updated system tomorrow apologize delay appreciate continued support,0,0,0,0,0,0,0
win Turtle,win Turtle,0,0,0,0,0,0,0
package shipped yesterday please check email spam folder email via fed ex,package shipped yesterday please check email spam folder email via fed ex,0,0,0,0,0,0,0
really interested subscribing stay seeing shipping questions getting ironed,really interested subscribing stay seeing shipping question getting ironed,0,0,0,0,0,0,0
received april package yet charged emailed guys got response email andrew,received april package yet charged emailed guy got response email andrew,0,0,0,0,0,0,0
guys ever add items online store barley anything kind disappointing,guy ever add item online store barley anything kind disappointing,0,0,0,0,0,0,0
placed order couple weeks ago still nothing could give give hand email,placed order couple week ago still nothing could give give hand email,0,0,0,0,0,0,0
package authorized ship end day tomorrow sorry delay,package authorized ship end day tomorrow sorry delay,0,0,0,0,0,0,0
appreciate fast response thanks,appreciate fast response thanks,0,0,0,0,0,0,0
worked months packages shipped timely manner,worked month package shipped timely manner,0,0,0,0,0,0,0
oh ok,oh ok,0,0,0,0,0,0,0
awesome thanks following apologize also busy work saw fedex email phone evening catch guys double checking mentioned,awesome thanks following apologize also busy work saw fedex email phone evening catch guy double checking mentioned,0,0,0,0,0,0,0
still received package last month,still received package last month,0,0,0,0,0,0,0
email address,email address,0,0,0,0,0,0,0
robertwmeunier con,robertwmeunier con,0,0,0,0,0,0,0
guys still legitimate even though win continue reputation,guy still legitimate even though win continue reputation,0,0,0,0,0,0,0
find package shipped,find package shipped,0,0,0,0,0,0,0
placed order weeks ago still nothing please help,placed order week ago still nothing please help,0,0,0,0,0,0,0
love five four,love five four,0,0,0,0,0,0,0
package shipped yesterday please check email possibly spam folder tracking information via fed ex,package shipped yesterday please check email possibly spam folder tracking information via fed ex,0,0,0,0,0,0,0
sure thing email address,sure thing email address,0,0,0,0,0,0,0
package shipped yesterday warehouse depending customs package soon,package shipped yesterday warehouse depending custom package soon,0,0,0,0,0,0,0
thanks would really appreciate,thanks would really appreciate,0,0,0,0,0,0,0
package get sent bro,package get sent bro,0,0,0,0,0,0,0
wear shorts make sure receive email,wear short make sure receive email,0,0,0,0,0,0,0
please email assistance,please email assistance,0,0,0,0,0,0,0
Turtle,Turtle,0,0,0,0,0,0,0
Turtle,Turtle,0,0,0,0,0,0,0
contacted stylist package shipped end day wednesday,contacted stylist package shipped end day wednesday,0,0,0,0,0,0,0
packages take roughly Watching business days process ship package ship end week,package take roughly Watching business day process ship package ship end week,0,0,0,0,0,0,0
returned package last week emailed guys status heard back yet info email,returned package last week emailed guy status heard back yet info email,0,0,0,0,0,0,0
expect time next week,expect time next week,0,0,0,0,0,0,0
want items much ask,want item much ask,0,0,0,0,0,0,0
next,next,0,0,0,0,0,0,0
received indigo dyed vista washed yet wore white today took color vista came shirt know washed expect transfer dry shirt many washes take happen thanks guys,received indigo dyed vista washed yet wore white today took color vista came shirt know washed expect transfer dry shirt many wash take happen thanks guy,0,0,0,0,0,0,0
telling paid package last monthe the Pretzel get the monthe bit absurd,telling paid package last monthe the Pretzel get the monthe bit absurd,0,0,0,0,0,0,0
claim prize email thanks,claim prize email thanks,0,0,0,0,0,0,0
cannot wait sick gear,cannot wait sick gear,0,0,0,0,0,0,0
please email assistance,please email assistance,0,0,0,0,0,0,0
yes,yes,0,0,0,0,0,0,0
thanks help,thanks help,0,0,0,0,0,0,0
internal delays shipments last month package transit arrive accordingly sorry delay thank patience,internal delay shipment last month package transit arrive accordingly sorry delay thank patience,0,0,0,0,0,0,0
package shipped monday currently transit please check email spam folder tracking information,package shipped monday currently transit please check email spam folder tracking information,0,0,0,0,0,0,0
received emails reply checked junk also site says may package shipped april package receiving packages may make package april,received email reply checked junk also site say may package shipped april package receiving package may make package april,0,0,0,0,0,0,0
package shipped april package may packages charged yet ship the,package shipped april package may package charged yet ship the,0,0,0,0,0,0,0
need jeans come sale,need jean come sale,0,0,0,0,0,0,0
waiting little bit weeks first package month april wanted know shipped email,waiting little bit week first package month april wanted know shipped email,0,0,0,0,0,0,0
jeans available next months packages,jean available next month package,0,0,0,0,0,0,0
package process shipped end day tomorrow thank patience,package process shipped end day tomorrow thank patience,0,0,0,0,0,0,0
anyway request frames next month package Winking,anyway request frame next month package Winking,0,0,0,0,0,0,0
need receive package,need receive package,0,0,0,0,0,0,0
email help assist,email help assist,0,0,0,0,0,0,0
sign today receive first order use referral code replay checkout,sign today receive first order use referral code replay checkout,0,0,0,0,0,0,0
want first package replay replay replay enjoy,want first package replay replay replay enjoy,0,0,0,0,0,0,0
would take additional days arrive much,would take additional day arrive much,0,0,0,0,0,0,0
use coupon code try first month free shipping,use coupon code try first month free shipping,0,0,0,0,0,0,0
going reply tease giveaway giving reason end subscription peeps,going reply tease giveaway giving reason end subscription peep,0,0,0,0,0,0,0
Turtle still jam though needs new pair ammo slip ons,Turtle still jam though need new pair ammo slip ons,0,0,0,0,0,0,0
hey please contact help assist,hey please contact help assist,0,0,0,0,0,0,0
hey please message help process redeem giveaway thanks winners,hey please message help process redeem giveaway thanks winner,0,0,0,0,0,0,0
hey contacted please check email yahoo,hey contacted please check email yahoo,0,0,0,0,0,0,0
fresh,fresh,0,0,0,0,0,0,0
signed Watching hope get,signed Watching hope get,0,0,0,0,0,0,0
order information may house monday never got april package notified service group multiple times email,order information may house monday never got april package notified service group multiple time email,0,0,0,0,0,0,0
like page,like page,0,0,0,0,0,0,0
take it month use code replay,take it month use code replay,0,0,0,0,0,0,0
dope,dope,0,0,0,0,0,0,0
need,need,0,0,0,0,0,0,0
oww Infatuated,oww Infatuated,0,0,0,0,0,0,0
oh god perf,oh god perf,0,0,0,0,0,0,0
job,job,0,0,0,0,0,0,0
perf,perf,0,0,0,0,0,0,0
follow please adidas,follow please adidas,0,0,0,0,0,0,0
oh male collection love shoes pants buy,oh male collection love shoe pant buy,0,0,0,0,0,0,0
would awesome get,would awesome get,0,0,0,0,0,0,0
stop shoes discontinued,stop shoe discontinued,0,0,0,0,0,0,0
yes want,yes want,0,0,0,0,0,0,0
shoes look nice haircut looks good,shoe look nice haircut look good,0,0,0,0,0,0,0
please help want clothes meet selena help Glasses switzerland adidas neo shop buy online please help mee love youu,please help want clothes meet selena help Glasses switzerland adidas neo shop buy online please help mee love youu,0,0,0,0,0,0,0
ever Smile,ever Smile,0,0,0,0,0,0,0
Octopus germany Pretzel selena gomez shoes thy got dad's neo label henchman,Octopus germany Pretzel selena gomez shoe thy got dad's neo label henchman,0,0,0,0,0,0,0
falls du deutsche kannst wenn du mal deutscheland urlaub bist kannst du dort die sachet karen es gibt relative vile shops,fall du deutsche kannst wenn du mal deutscheland urlaub bist kannst du dort die sachet karen e gibt relative vile shop,0,0,0,0,0,0,0
best comfortable shoes met ever worn sick,best comfortable shoe met ever worn sick,0,0,0,0,0,0,0
girl love every high top,girl love every high top,0,0,0,0,0,0,0
oh god thank god alone,oh god thank god alone,0,0,0,0,0,0,0
yeah,yeah,0,0,0,0,0,0,0
mark copiaron los sutra,mark copiaron los sutra,0,0,0,0,0,0,0
si eres i rico el le queen iejor que ti,si eres i rico el le queen iejor que ti,0,0,0,0,0,0,0
que ti tabi i,que ti tabi i,0,0,0,0,0,0,0
na,na,0,0,0,0,0,0,0
years everybody,year everybody,0,0,0,0,0,0,0
lao ma would,lao ma would,0,0,0,0,0,0,0
love much,love much,0,0,0,0,0,0,0
oh god cracking,oh god cracking,0,0,0,0,0,0,0
yes grandma said stuff like actually vagina thing grandpa mentioned,yes grandma said stuff like actually vagina thing grandpa mentioned,0,0,0,0,0,0,0
oh god,oh god,0,0,0,0,0,0,0
laughing ass,laughing as,0,0,0,0,0,0,0
dead,dead,0,0,0,0,0,0,0
slamming,slamming,0,0,0,0,0,0,0
laughing loud,laughing loud,0,0,0,0,0,0,0
hahahahahahaahahahaha know love this,hahahahahahaahahahaha know love this,0,0,0,0,0,0,0
oh god ad,oh god ad,0,0,0,0,0,0,0
dying,dying,0,0,0,0,0,0,0
cannot fucking breathe,cannot fucking breathe,0,0,0,0,0,0,0
know saw thought reason laughing loud,know saw thought reason laughing loud,0,0,0,0,0,0,0
sounds like something oma would say,sound like something oma would say,0,0,0,0,0,0,0
oh fucking god laughing loud,oh fucking god laughing loud,0,0,0,0,0,0,0
Teasing,Teasing,0,0,0,0,0,0,0
oh gossip,oh gossip,0,0,0,0,0,0,0
right hahaha,right hahaha,0,0,0,0,0,0,0
hahaha,hahaha,0,0,0,0,0,0,0
vavavavavagina,vavavavavagina,0,0,0,0,0,0,0
bahahahaha,bahahahaha,0,0,0,0,0,0,0
dead,dead,0,0,0,0,0,0,0
with,with,0,0,0,0,0,0,0
dying,dying,0,0,0,0,0,0,0
ad,ad,0,0,0,0,0,0,0
dead,dead,0,0,0,0,0,0,0
grandma,grandma,0,0,0,0,0,0,0
hahaha would,hahaha would,0,0,0,0,0,0,0
oh god omgomgomgom breathing,oh god omgomgomgom breathing,0,0,0,0,0,0,0
ad,ad,0,0,0,0,0,0,0
om,om,0,0,0,0,0,0,0
oh fucking god,oh fucking god,0,0,0,0,0,0,0
dying,dying,0,0,0,0,0,0,0
think laughed harder,think laughed harder,0,0,0,0,0,0,0
ive seen long time ago,ive seen long time ago,0,0,0,0,0,0,0
oh dear lord,oh dear lord,0,0,0,0,0,0,0
oh god laughing loud,oh god laughing loud,0,0,0,0,0,0,0
ad,ad,0,0,0,0,0,0,0
egg hahahahaha,egg hahahahaha,0,0,0,0,0,0,0
oh god laughing loud,oh god laughing loud,0,0,0,0,0,0,0
hello,hello,0,0,0,0,0,0,0
of can,of can,0,0,0,0,0,0,0
hahaha,hahaha,0,0,0,0,0,0,0
laughing loud oh god,laughing loud oh god,0,0,0,0,0,0,0
laughing loud yes,laughing loud yes,0,0,0,0,0,0,0
thought would like this,thought would like this,0,0,0,0,0,0,0
do,do,0,0,0,0,0,0,0
happy valentines ay Watching dick vagina,happy valentine ay Watching dick vagina,0,0,0,0,0,0,0
hahaha,hahaha,0,0,0,0,0,0,0
soo going,soo going,0,0,0,0,0,0,0
hahahahahahaha,hahahahahahaha,0,0,0,0,0,0,0
well life short lived Inadequate,well life short lived Inadequate,0,0,0,0,0,0,0
wif,wif,0,0,0,0,0,0,0
own comment,own comment,0,0,0,0,0,0,0
old,old,0,0,0,0,0,0,0
hahaha oh god,hahaha oh god,0,0,0,0,0,0,0
saying older flskiaha,saying older flskiaha,0,0,0,0,0,0,0
grannie,grannie,0,0,0,0,0,0,0
lololol yes,lololol yes,0,0,0,0,0,0,0
