,Lemmatized_Comment,Sexual_Type1,Sexual_Type2,Physical_Appearance,Race,Intellectual,General_Hate
59,harassment filed formal complaint against really need get life stop stalking Whatever really need block page since harass leave rude commentsWhateverWhateverWhateverand think mother disgrace,0,0,0,0,0,0
60,confused wizard,0,0,0,0,0,0
61,damn sexy,0,0,0,0,0,0
62,rest peace kobe,0,0,0,0,0,0
63,oh get Whatever,0,0,0,0,0,0
64,fucking love marcus,0,0,0,0,0,0
65,like part beginning seem flow together right,0,0,0,0,0,0
66,personal act Smile Smile yes get message Smile,0,0,0,0,0,0
67,lupus,0,0,0,0,0,0
68,package shipped monday currently transit please check email spam folder tracking information,0,0,0,0,0,0
69,cut blonde hair look like,0,0,0,0,0,0
70,shoe boxing glove,0,0,0,0,0,0
71,fake,0,0,0,0,0,0
72,friend annoys time fun boyfriend broke one friend getting worse worse one talk cause best friend different class working room week half straight gotten rid half stuff parent still tell get rid think might like guy think like back could see u dating still like ex anyway hard time algebra sometimes get mad reason one listen dad poor step sibling really annoying little sister scream time read fast get ahead assignment one friend really nice shut miss old friend including one best friend decided care anymore new friend jerk sneak room night want cable anymore missing sherlock think almost covered,0,0,0,0,0,0
73,bringing style everything,0,0,0,0,0,0
74,text,0,0,0,0,0,0
75,entertainment get money really much drama could stay show fake,0,0,0,0,0,0
76,like get post video abuse actually take like someone else know,0,0,0,0,0,0
77,look like harry,0,0,0,0,0,0
78,scrappy real man laughing,0,0,0,0,0,0
79,go mineshaft please,0,0,0,0,0,0
80,relate,0,0,0,0,0,0
81,god also like premarital sex cut hair middle rift cleavage showing others judge others guess hate everyone wow,0,0,0,0,0,0
82,yes please,0,0,0,0,0,0
83,prayer,0,0,0,0,0,0
84,lemonade iced tea,0,0,0,0,0,0
85,agree disagree people take bible however way want cannot least agree jesus used promote view na mean come na republican party really come,0,0,0,0,0,0
86,mean fuck,0,0,0,0,0,0
87,shit always make crack,0,0,0,0,0,0
88,babe,0,0,0,0,0,0
89,would probably scare shit saw plane,0,0,0,0,0,0
90,pic leave inflammatory way go glad followed care,0,0,0,0,0,0
91,preach,0,0,0,0,0,0
92,night,0,0,0,0,0,0
93,missed Crying,0,0,0,0,0,0
94,oh god,0,0,0,0,0,0
95,know,0,0,0,0,0,0
96,gotta tell already know tellin began civilized everything beginning anything uh ok sure believe somewhat real question know god exist book save u jesus christ book word believe daily pray daily study daily going fully understand creation let ignorance blind eye brother happen end perfect planet exactly perfect distance sun sustain life suh bash something gave time day understand life pesky space science jesus christ love forgive,0,0,0,0,0,0
97,sweet little pill,0,0,0,0,0,0
98,laughing loud purely speculation friend may person named jesus got crucified son god get resurrected perform miracle dude good idea probably delusional got tortured killed way thousand others got tortured killed day god create everything anyone think insane believe fucking noah ark jesus man think life apply logic situation gotta smarter,0,0,0,0,0,0
99,mount down make penis small saying,0,0,0,0,0,0
100,larry,0,0,0,0,0,0
101,ae,0,0,0,0,0,0
102,oh god beautiful,0,0,0,0,0,0
103,read cray fucking wizard know giftcard,0,0,0,0,0,0
104,hair,0,0,0,0,0,0
105,eh,0,0,0,0,0,0
106,love marcus please follow Smile much love argentina,0,0,0,0,0,0
107,headset Winking,0,0,0,0,0,0
108,course cod,0,0,0,0,0,0
109,oh touch shoulder laughing perfect,0,0,0,0,0,0
110,cadillac chevy already got Whatever hit i youtubeWhateverWhatever iice mrWhatever beitoi,0,0,0,0,0,0
111,got larry yay,0,0,0,0,0,0
112,wow nice,0,0,0,0,0,0
113,hair beaut,0,0,0,0,0,0
114,look great,0,0,0,0,0,0
115,yes haircut,0,0,0,0,0,0
116,of can,0,0,0,0,0,0
117,battle pack mason ryan randy orion chair,0,0,0,0,0,0
118,laughing loud stuff lololol play race card also minority come ignorant woman agreeing someone saying pussy power mind power nurse prof,0,0,0,0,0,0
119,love bam,0,0,0,0,0,0
120,wwe battle pack series randy orion versus mason ryan,0,0,0,0,0,0
121,clean jean,0,0,0,0,0,0
122,idiot,0,0,0,0,0,0
123,show,0,0,0,0,0,0
124,fucked babe,0,0,0,0,0,0
125,sweet dream hahaha,0,0,0,0,0,0
126,know mean calmed,0,0,0,0,0,0
127,official love everything you,0,0,0,0,0,0
128,haha clue,0,0,0,0,0,0
129,cousin headwind recorded adam back skype Upside Down,0,0,0,0,0,0
130,cam ofmy,0,0,0,0,0,0
131,two shoe jamal Smile,0,0,0,0,0,0
132,girl good look pretty much wanna get wife gotta worth much hey men money like cheap thing,0,0,0,0,0,0
133,hi five four davidsolis underscore two make day baby,0,0,0,0,0,0
134,boyfriend trusting always sarcastic mean idea,0,0,0,0,0,0
135,sweet song,0,0,0,0,0,0
136,awe hayes little,0,0,0,0,0,0
137,pico,0,0,0,0,0,0
138,wo beautiful,0,0,0,0,0,0
139,guy giving attention want cause gay give anyone right judge opinion either saying right gay pride way straight gay human judge people status half girl guy gay blend perfectly well society becoming accepted,0,0,0,0,0,0
140,bully ray awesome,0,0,0,0,0,0
141,fall du deutsche kannst wenn du mal deutscheland urlaub bist kannst du dort die sachet karen e gibt relative vile shop,0,0,0,0,0,0
142,happy birthday al lovely day love sweet,0,0,0,0,0,0
143,laughing awesome guy look hot,0,0,0,0,0,0
144,smile,0,0,0,0,0,0
145,never noticed beautiful laughing lot looked night live la,0,0,0,0,0,0
146,food,0,0,0,0,0,0
147,oh god floor dying laughter harry looking like sad puppy louis talk eleanor louis looking like jealous bitch harry get asked another woman sorry recall living know larry shipper funny least proof eleanor real photoshop picture like,0,0,0,0,0,0
148,would like see picture tagging guy,0,0,0,0,0,0
149,randy orion versus mason ryan battle pack series,0,0,0,0,0,0
150,le valentine day though hahahahaha,0,0,0,0,0,0
151,burden let anyone tell different love,0,0,0,0,0,0
152,ahahahaha something would laughing loud,0,0,0,0,0,0
153,ger,0,0,0,0,0,0
154,respect wife,0,0,0,0,0,0
155,fucking yuck fuck person thinking happened people day,0,0,0,0,0,0
156,oh god song knew one,0,0,0,0,0,0
157,ke wear so even skate,0,0,0,0,0,0
158,woids explain hot i,0,0,0,0,0,0
159,account go feel insecure help cope love heart,0,0,0,0,0,0
160,saw bunch garden,0,0,0,0,0,0
161,booth anyone else,0,0,0,0,0,0
162,love eye,0,0,0,0,0,0
163,friend better,0,0,0,0,0,0
164,sound goo,0,0,0,0,0,0
165,hot,0,0,0,0,0,0
166,think laughed harder,0,0,0,0,0,0
167,cutest thing ever,0,0,0,0,0,0
168,top flight or,0,0,0,0,0,0
169,remind austin malone,0,0,0,0,0,0
170,disgusting,0,0,0,0,0,0
171,saw video laughing loud,0,0,0,0,0,0
172,new hair cool,0,0,0,0,0,0
173,finally gave trying contact disputed charge credit card company,0,0,0,0,0,0
174,know dying oh god,0,0,0,0,0,0
175,get,0,0,0,0,0,0
176,love hair,0,0,0,0,0,0
177,battle pack series mason ryan versus randy orion,0,0,0,0,0,0
178,soo fake,0,0,0,0,0,0
179,please email assistance,0,0,0,0,0,0
180,happy birthday brother,0,0,0,0,0,0
181,favorite lure you,0,0,0,0,0,0
182,word,0,0,0,0,0,0
183,oome hot mine,0,0,0,0,0,0
184,mean bad day,0,0,0,0,0,0
185,si,0,0,0,0,0,0
186,love song booty,0,0,0,0,0,0
187,base picture,0,0,0,0,0,0
188,gay pride thanks supporter much family gay thanks supporting,0,0,0,0,0,0
189,posted picture snapchat,0,0,0,0,0,0
190,laughing lot vida,0,0,0,0,0,0
191,epic,0,0,0,0,0,0
192,anyone tell kill cyber bully tell someone one listen tell police serious best friend drifting apart talk anymore never true friend hope help,0,0,0,0,0,0
193,agree,0,0,0,0,0,0
194,love,0,0,0,0,0,0
195,well thing friend able contact either worry,0,0,0,0,0,0
196,scare,0,0,0,0,0,0
197,feel sorry kid,0,0,0,0,0,0
198,put put crushing guy put hahahahahaha,0,0,0,0,0,0
199,ah gorgeous love hair also love long curly disney prince come life,0,0,0,0,0,0
200,angry loo,0,0,0,0,0,0
201,wow look great love cut,0,0,0,0,0,0
202,bible wrong homosexuality wrong everything else,0,0,0,0,0,0
203,Whatever,0,0,0,0,0,0
204,sexy,0,0,0,0,0,0
205,made brother drive get be,0,0,0,0,0,0
206,and bet idea rap dumb song suh love yes girl run away leave,0,0,0,0,0,0
207,john geiger little cousin please hum demo want give mac tomorrow concert pittsburgh know would unless got backstage could meet gate something get backstage give demo text email please soon possible,0,0,0,0,0,0
208,rasheed love together,0,0,0,0,0,0
209,bigger Pretzel swagger never fought fair del rio absurd people booing del rio standing fan really get fact straight booing someone,0,0,0,0,0,0
210,cut beautiful,0,0,0,0,0,0
211,lao look like kid jiang,0,0,0,0,0,0
212,help get gave shout,0,0,0,0,0,0
213,oh god lucky,0,0,0,0,0,0
214,wuz late tho already got footage,0,0,0,0,0,0
215,dude chill stoop,0,0,0,0,0,0
216,two salty fuck calm,0,0,0,0,0,0
217,totally,0,0,0,0,0,0
218,i blame,0,0,0,0,0,0
219,account,0,0,0,0,0,0
220,oh god hahahahahah,0,0,0,0,0,0
221,reason said talking christian friend said told christian believe right people believe god mine,0,0,0,0,0,0
222,gay genetic trait choice coming straight woman judge anyone,0,0,0,0,0,0
223,would consider crook bet planning nose grind,0,0,0,0,0,0
224,nice picture,0,0,0,0,0,0
225,yes,0,0,0,0,0,0
226,called inspiration,0,0,0,0,0,0
227,honestly pimp,0,0,0,0,0,0
228,love child lord create something destroy destroyed sodom gomorrah reason men men woman woman adultery care say done talking anymore belief mine,0,0,0,0,0,0
229,instagram pic bullshit ya writing say,0,0,0,0,0,0
230,oh god,0,0,0,0,0,0
231,help,0,0,0,0,0,0
232,Winking,0,0,0,0,0,0
233,idol reduced dust,0,0,0,0,0,0
234,booty like,0,0,0,0,0,0
235,picture meant u,0,0,0,0,0,0
236,want artist wit bar,0,0,0,0,0,0
237,friend cousin,0,0,0,0,0,0
238,whoop whoop,0,0,0,0,0,0
239,dead dead,0,0,0,0,0,0
240,knew yes meant lol good thing yes caught seen laughing loud,0,0,0,0,0,0
241,hahahahahahaahahahaha know love this,0,0,0,0,0,0
242,got charged april never received april package may package already shipped sent email customer service reply come,0,0,0,0,0,0
243,fuck actually say blind,0,0,0,0,0,0
244,fairy tale religion christianity bible reference hell several time someone preaches definitely know examplesOctopus revelation Octopus thessalonian Octopus matthew Octopus matthew Octopus matthew Octopus daniel Octopus act Octopus never read die stay underground one day everyone rise go whichever place belong Octopus,0,0,0,0,0,0
245,amen,0,0,0,0,0,0
246,stu getting pal hope nothing,0,0,0,0,0,0
247,sky ferreira brunette bitch,0,0,0,0,0,0
248,wwe battle pack mason ryan is randy orion,0,0,0,0,0,0
249,pink shoe Smile,0,0,0,0,0,0
250,oh love taste gay bacon morning,0,0,0,0,0,0
251,love,0,0,0,0,0,0
252,lao get follower try preach,0,0,0,0,0,0
253,loving charlies new hour look even sexier beautifull ex,0,0,0,0,0,0
254,bad day sweet little pill,0,0,0,0,0,0
255,muscle too,0,0,0,0,0,0
256,jesus christ gun gun made kill jesus christ preached peace love,0,0,0,0,0,0
257,likely,0,0,0,0,0,0
258,of,0,0,0,0,0,0
259,thermos,0,0,0,0,0,0
260,good look Whatever thumb,0,0,0,0,0,0
261,cute,0,0,0,0,0,0
262,om nom nom,0,0,0,0,0,0
263,would put way god love everybody,0,0,0,0,0,0
264,cjshdvgebshruehjwjgshdbdydhvdgdyhdbfhdjhenduejudjjdjhehhdhebisjxynwidgdyegudjepbsyd really happy,0,0,0,0,0,0
265,love,0,0,0,0,0,0
266,what freed sale stussy supreme hug diamond,0,0,0,0,0,0
267,love,0,0,0,0,0,0
268,harry exact,0,0,0,0,0,0
269,saw,0,0,0,0,0,0
270,short slang crazy,0,0,0,0,0,0
271,nay,0,0,0,0,0,0
272,my see nicole already ready sumyer body,0,0,0,0,0,0
273,cute top get,0,0,0,0,0,0
274,your lucky oh fucking god,0,0,0,0,0,0
275,fuck nigga ock,0,0,0,0,0,0
276,laughing loud le,0,0,0,0,0,0
277,complain like,0,0,0,0,0,0
278,fascism,0,0,0,0,0,0
279,loveyou much girl Whatever amazing,0,0,0,0,0,0
280,oh god went pride lucky wanted go,0,0,0,0,0,0
281,awesome,0,0,0,0,0,0
282,take it month use code replay,0,0,0,0,0,0
283,mountain dew kill sperm,0,0,0,0,0,0
284,super funny hahaha,0,0,0,0,0,0
285,Whatever yes indeed happen everydayWhatever often man making promise woman chose spend rest life questioned dedication loyalty even entertaining thought infidelityWhatever questioning paternityWhatever ludicrous especially running around place strip club coming homeWhatever actually like kirkWhatever lost lot point bookWhatever cowered first sight real responsibilityWhatever shame,0,0,0,0,0,0
286,nothing jealous Peace mean huh,0,0,0,0,0,0
287,nak ye,0,0,0,0,0,0
288,uh oh jay sample real hopefully stay cockpit break back,0,0,0,0,0,0
289,give crepe,0,0,0,0,0,0
290,blah,0,0,0,0,0,0
291,haha thanks bro,0,0,0,0,0,0
292,laughing abuse mic by sound beautiful,0,0,0,0,0,0
293,woah cool,0,0,0,0,0,0
294,reason love drunken love,0,0,0,0,0,0
295,of hate fan surprised dead wrung kirk betta hope somebody get as disappointment men,0,0,0,0,0,0
296,battle pack randy orion Pretzel mason ryan,0,0,0,0,0,0
297,perfect,0,0,0,0,0,0
298,agree agree use jesus promotion tool think cheapens name christ know intent picture intention give christ glory amen cause strife promote cause wrong everyone judged last day done,0,0,0,0,0,0
299,love,0,0,0,0,0,0
300,suck everyone going stuff hearing everyone else story make feel alone love internet reason known people whole life never people never met,0,0,0,0,0,0
301,brent rivera wagon,0,0,0,0,0,0
302,get,0,0,0,0,0,0
303,tryna get signed popping,0,0,0,0,0,0
304,bae,0,0,0,0,0,0
305,perfect smile,0,0,0,0,0,0
306,need leave tea wrestler alone including brooke hogan,0,0,0,0,0,0
307,lucky,0,0,0,0,0,0
308,yea love huh suh ok,0,0,0,0,0,0
309,everyone right opinion put people believe,0,0,0,0,0,0
310,love new haircut fabulous,0,0,0,0,0,0
311,del rio made bad huh,0,0,0,0,0,0
312,flyknits forever,0,0,0,0,0,0
313,email assistance,0,0,0,0,0,0
314,loose cunt,0,0,0,0,0,0
315,congratulation girl,0,0,0,0,0,0
316,bitch fucking told talk bout child fucking weak as bully low go pick innocent child done hearing going something tired bullying kid cunt,0,0,0,0,0,0
317,hoping stunt,0,0,0,0,0,0
318,still received april order emailed guy twice,0,0,0,0,0,0
319,ever need candy dessert table event please check work sweet day,0,0,0,0,0,0
320,literally dining,0,0,0,0,0,0
321,remember,0,0,0,0,0,0
322,Peace,0,0,0,0,0,0
323,said trying mean put number instagram mean either probably going call,0,0,0,0,0,0
324,coral available june it,0,0,0,0,0,0
325,real erosion weathering,0,0,0,0,0,0
326,laughing loud,0,0,0,0,0,0
327,cray fucking wizard,0,0,0,0,0,0
328,barcelona suck oh ok yea one best player world team,0,0,0,0,0,0
329,cute argh,0,0,0,0,0,0
330,city,0,0,0,0,0,0
331,fake,0,0,0,0,0,0
332,please email assistance,0,0,0,0,0,0
333,soo freaked lame like dam atleast google good comeback,0,0,0,0,0,0
334,fuck delta hulk hogan bubba respect legend,0,0,0,0,0,0
335,glad came along right time,0,0,0,0,0,0
336,yeah laughing loud,0,0,0,0,0,0
337,i i,0,0,0,0,0,0
338,gay bacon,0,0,0,0,0,0
339,gay,0,0,0,0,0,0
340,would honored rap dont want sell soul game yet,0,0,0,0,0,0
341,please follow would make day,0,0,0,0,0,0
342,happy birthday frontman,0,0,0,0,0,0
343,hot,0,0,0,0,0,0
344,bad day,0,0,0,0,0,0
345,oh word word,0,0,0,0,0,0
346,guy apologizing stuff say internet local town famous man none probably met person,0,0,0,0,0,0
347,figure speechless,0,0,0,0,0,0
348,oh god congrats holy shit,0,0,0,0,0,0
349,drum,0,0,0,0,0,0
350,reason people killing hurting self every day people lik reason,0,0,0,0,0,0
351,sorry terrible even goodbye,0,0,0,0,0,0
352,oh ok sorry know entire context Smile make sense,0,0,0,0,0,0
353,man never question wife pregnancy extremely hurtful,0,0,0,0,0,0
354,perfection right,0,0,0,0,0,0
355,asking though,0,0,0,0,0,0
356,happy care people think,0,0,0,0,0,0
357,oj went railing,0,0,0,0,0,0
358,Whatever gay problemWhatever,0,0,0,0,0,0
359,oh god zachary wacky love,0,0,0,0,0,0
360,aww cut hair look great though Smile,0,0,0,0,0,0
361,one,0,0,0,0,0,0
362,agree,0,0,0,0,0,0
363,think gay got bieber fever laughing loud joke fucking equal give fuck,0,0,0,0,0,0
364,star um following date respond bac fan know cut respond everybody hyena good date atleast let u know guy reading date go date appreciate date put mad love mad respect,0,0,0,0,0,0
365,oh fucking god,0,0,0,0,0,0
366,real live near mini waterfall rock around look like face carved pompous,0,0,0,0,0,0
367,look gay,0,0,0,0,0,0
368,mano it sofa ksldjsgdklsk,0,0,0,0,0,0
369,virgin daiquiri,0,0,0,0,0,0
370,dang,0,0,0,0,0,0
371,enjoy day dude,0,0,0,0,0,0
372,love song boy beyonce,0,0,0,0,0,0
373,preach,0,0,0,0,0,0
374,photo shop laughing loud ok one photo shop face,0,0,0,0,0,0
375,oh god hahaha dumb,0,0,0,0,0,0
376,like,0,0,0,0,0,0
377,bet just jealous,0,0,0,0,0,0
378,waitin bitch try put hand put fucking brick wall say lowlife bitch please jug repeating every sayin,0,0,0,0,0,0
379,offensive,0,0,0,0,0,0
380,still got money,0,0,0,0,0,0
381,Dazed,0,0,0,0,0,0
382,rasheed nice woman Pretzel deserve talked like knew taking control put cap ready another kid real man talk woman way would like man talked mom family female,0,0,0,0,0,0
383,looking december,0,0,0,0,0,0
384,seriously,0,0,0,0,0,0
385,ex,0,0,0,0,0,0
386,eye cannot grow even visited number,0,0,0,0,0,0
387,best friend called yesterday trip visit family friend six year everything together left week ago told would back next week planned ask could spend weekend u hang like always last night called saying coming back moving going school feel lonely depressed knowing may never see reason feel may come back live feeling,0,0,0,0,0,0
388,extreme gaming laughing loud,0,0,0,0,0,0
389,pi a colada,0,0,0,0,0,0
390,oh god le,0,0,0,0,0,0
391,bring wagon canada it john clarenville newfoundland,0,0,0,0,0,0
392,egg like year ago,0,0,0,0,0,0
393,gross,0,0,0,0,0,0
394,let laughing loud name soon,0,0,0,0,0,0
395,hate chemistry laughing loud,0,0,0,0,0,0
396,the grade know notheing life big surprise agree someone refers cupcake girlie laughing loud accept everyone really accept stupid,0,0,0,0,0,0
397,literally love Penguin youu,0,0,0,0,0,0
398,lemonade,0,0,0,0,0,0
399,truly inspiring shit real peux wit,0,0,0,0,0,0
400,good america different belief agree evolve way evolve Skeptical,0,0,0,0,0,0
401,sweet please please please please few meryl,0,0,0,0,0,0
402,wow,0,0,0,0,0,0
403,frozen lemonade tim,0,0,0,0,0,0
404,know ugh,0,0,0,0,0,0
405,agree background check gun insurance limiting ammunition america arm glorifying word assault rifle making law abiding citizen gun look like murderous psychopath like way bitch pier morgan totally,0,0,0,0,0,0
406,look came phone,0,0,0,0,0,0
407,hello christian asia religion still strong follower thanks guy western country brought christianity u since know many longer go church anymore want remind guy without christianity civilization would even exist give bit respect jesus think proper display picture someone teach love forgiveness nonviolence organization supposed promoted right buy weapon believe many christian asia africa get insulted picture jesus already taught u would forgive pray guy western country remember christ deed civilization,0,0,0,0,0,0
408,bad,0,0,0,0,0,0
409,took picture,0,0,0,0,0,0
410,laughing loud worry fucking leave alone trying show as to,0,0,0,0,0,0
411,sweet little pill bad day,0,0,0,0,0,0
412,laughing loud mom doctor do yvette taylor google sure bring baby father disrespectful positive lol entertainment paying wife time passionate said must close home look much older hard life hard dougs minority lol cannot tell comment made mighty white,0,0,0,0,0,0
413,roll i,0,0,0,0,0,0
414,killed me,0,0,0,0,0,0
415,well befriend picking random fight lately tiny thing happened mad always start fight dramatic person ever met tell everyone family poor even though iphone laptop kindle live big house thing making really mad lately know start fight tell think owes apology tell anything im really getting sick try ignore said hurtful thing act like nothing happened actually get mad responding idea anyone relate really need advice,0,0,0,0,0,0
416,well christian could care le and weird god say forgive stuff sin go hell according,0,0,0,0,0,0
417,ira china thank sobrinita,0,0,0,0,0,0
418,base,0,0,0,0,0,0
419,see video shoot episode guy good cannot believe everything see know life outside to Pretzel argument frakenbit cut Pretzel pasted together may minute disagreement cut Pretzel pasted full blown argument,0,0,0,0,0,0
420,to funny hate made go somewhere prettier jealous fault flawless,0,0,0,0,0,0
421,code red good stuff,0,0,0,0,0,0
422,love new hair cut,0,0,0,0,0,0
423,umm instead saying ew say nay respectful tip,0,0,0,0,0,0
424,cray fucking wizard,0,0,0,0,0,0
425,haha isso vielleicht said ihr ja errand laughing,0,0,0,0,0,0
426,laughing loud que absurd,0,0,0,0,0,0
427,bi all list gyno sag midian,0,0,0,0,0,0
428,whole world blind many people would impress,0,0,0,0,0,0
429,gay lesbian bisexual straight whatever human give fuck love happy happy ignorant people stu creating one life aint telling marry keep opinion grow gotta realize lot thing changing world every fucking year instead saying hateful comment focus bigger issue need changed economy she's immature as people yo,0,0,0,0,0,0
430,could got three exam tomorrow laughing,0,0,0,0,0,0
431,got coaster bus lol,0,0,0,0,0,0
432,damn biceps doe,0,0,0,0,0,0
433,yes please,0,0,0,0,0,0
434,exactly feel usually even watch Pretzel definitely comment seen fucker could think let cookery go way far fake weak hell real weak hell way people screaming hater ish grow jump trend word apply everything public to show pimping supposed real life public supposed opinion,0,0,0,0,0,0
435,randy orion battle pack series mason rayon steel chair,0,0,0,0,0,0
436,your youve taught believe ever thought life would like grew middle east may muslim Smile,0,0,0,0,0,0
437,love five four,0,0,0,0,0,0
438,world need like smart girl Smile,0,0,0,0,0,0
439,you really got goin lookin real good do play song,0,0,0,0,0,0
440,good word girl,0,0,0,0,0,0
441,read know giftcard cray fucking wizard,0,0,0,0,0,0
442,pray people religious debate haha,0,0,0,0,0,0
443,thanks Whatever,0,0,0,0,0,0
444,sure,0,0,0,0,0,0
445,pretty,0,0,0,0,0,0
446,get saying everyone acting like cannot compromise act like gay need attention human being equal god like fine like thing straight people either,0,0,0,0,0,0
447,first steal shit anyone cause never claimed anything mine go head drag,0,0,0,0,0,0
448,look adorable,0,0,0,0,0,0
449,need ben jerry,0,0,0,0,0,0
450,give money always stay true know,0,0,0,0,0,0
451,reminded lot,0,0,0,0,0,0
452,laughing,0,0,0,0,0,0
453,text,0,0,0,0,0,0
454,wwe battle pack series mason ryan randy orion,0,0,0,0,0,0
455,well said sister proud,0,0,0,0,0,0
456,like hidden shootout mug guy,0,0,0,0,0,0
457,get shirt love bow cannot wait new music Smile,0,0,0,0,0,0
458,offered number model maybe drunk number instagram got problem,0,0,0,0,0,0
459,preach babe get hard guy understand,0,0,0,0,0,0
460,laughing loud someone obsessing ronnie much,0,0,0,0,0,0
461,my serious,0,0,0,0,0,0
462,aw,0,0,0,0,0,0
463,grow stop talking shit every single person ever commented,0,0,0,0,0,0
464,need grow,0,0,0,0,0,0
465,package shipped via fed ex today updated system tomorrow apologize delay appreciate continued support,0,0,0,0,0,0
466,pink shoe get,0,0,0,0,0,0
467,want item much ask,0,0,0,0,0,0
468,suh course true would leave money laughing loud else go get takin shot rid look like bitch boy,0,0,0,0,0,0
469,normal laughing love,0,0,0,0,0,0
470,go liked pick,0,0,0,0,0,0
471,hi,0,0,0,0,0,0
472,sick picture,0,0,0,0,0,0
473,love,0,0,0,0,0,0
474,lololol yes,0,0,0,0,0,0
475,cutie,0,0,0,0,0,0
476,song oh fucking god,0,0,0,0,0,0
477,le rock paper swizzors,0,0,0,0,0,0
478,cutie,0,0,0,0,0,0
479,pretty much sum today,0,0,0,0,0,0
480,cutie,0,0,0,0,0,0
481,uma olhadinha quem parece i de reliance,0,0,0,0,0,0
482,lot night laughing loud,0,0,0,0,0,0
483,could please painting know never able afford thought might try luck ex feel free tell fuck love work regardless,0,0,0,0,0,0
484,love sure notice kind comment,0,0,0,0,0,0
485,never said nothing like mean blog,0,0,0,0,0,0
486,love hayes jacket,0,0,0,0,0,0
487,bitch sick,0,0,0,0,0,0
488,idle,0,0,0,0,0,0
489,email address,0,0,0,0,0,0
490,realize episode recorded long ago kirk possibly changed mind,0,0,0,0,0,0
491,yeah kirk based true story,0,0,0,0,0,0
492,people know god love written book man made come stop ignorance,0,0,0,0,0,0
493,stop nonsense true,0,0,0,0,0,0
494,clown,0,0,0,0,0,0
495,tuck shirt age,0,0,0,0,0,0
496,cute,0,0,0,0,0,0
497,awesome,0,0,0,0,0,0
498,mason ryan versus randy orion steel chair series battle pack,0,0,0,0,0,0
499,guy god made u freedom choice made wrong ine,0,0,0,0,0,0
500,wwe battle pack randy orion mason ryan folding chair,0,0,0,0,0,0
501,ah love boo,0,0,0,0,0,0
502,wave,0,0,0,0,0,0
503,terrible terrible,0,0,0,0,0,0
504,well suppose wait see meet jesus,0,0,0,0,0,0
505,zach Female niall remember,0,0,0,0,0,0
506,sorry feel bad really suck,0,0,0,0,0,0
